CPM_ID	TCMT_ID
UHF0001	TCMT01834
UHF0002	TCMT01941
UHF0003	TCMT01941
UHF0005	TCMT01938
UHF0005	TCMT01941
UHF0006	TCMT01938
UHF0006	TCMT01940
UHF0009	TCMT01938
UHF0009	TCMT02184
UHF0010	TCMT01941
UHF0012	TCMT01939
UHF0013	TCMT01939
UHF0016	TCMT01941
UHF0018	TCMT01941
UHF0018	TCMT02190
UHF0021	TCMT00383
UHF0021	TCMT01941
UHF0023	TCMT01941
UHF0025	TCMT01938
UHF0026	TCMT01938
UHF0027	TCMT01941
UHF0028	TCMT01941
UHF0029	TCMT01938
UHF0031	TCMT01941
UHF0032	TCMT01941
UHF0033	TCMT01941
UHF0036	TCMT01941
UHF0042	TCMT02061
UHF0045	TCMT02180
UHF0047	TCMT02180
UHF0048	TCMT01938
UHF0049	TCMT01938
UHF0050	TCMT02180
UHF0052	TCMT01941
UHF0057	TCMT02180
UHF0058	TCMT01939
UHF0058	TCMT01938
UHF0061	TCMT01939
UHF0062	TCMT01939
UHF0062	TCMT02184
UHF0063	TCMT02061
UHF0063	TCMT02120
UHF0065	TCMT01939
UHF0067	TCMT01938
UHF0068	TCMT00509
UHF0069	TCMT01939
UHF0069	TCMT02070
UHF0070	TCMT01939
UHF0071	TCMT01939
UHF0071	TCMT01938
UHF0073	TCMT01938
UHF0078	TCMT01938
UHF0079	TCMT02036
UHF0082	TCMT01939
UHF0082	TCMT01938
UHF0082	TCMT00433
UHF0084	TCMT01939
UHF0088	TCMT01938
UHF0088	TCMT01817
UHF0089	TCMT01939
UHF0089	TCMT01938
UHF0090	TCMT01939
UHF0090	TCMT01938
UHF0091	TCMT01938
UHF0092	TCMT01941
UHF0095	TCMT01939
UHF0095	TCMT01938
UHF0096	TCMT01938
UHF0096	TCMT01939
UHF0096	TCMT01827
UHF0097	TCMT01938
UHF0097	TCMT01939
UHF0097	TCMT01827
UHF0098	TCMT00383
UHF0099	TCMT01939
UHF0100	TCMT02180
UHF0100	TCMT01817
UHF0102	TCMT01941
UHF0102	TCMT01940
UHF0106	TCMT02036
UHF0108	TCMT01939
UHF0109	TCMT01940
UHF0110	TCMT01939
UHF0110	TCMT01938
UHF0111	TCMT01939
UHF0112	TCMT01938
UHF0112	TCMT01939
UHF0114	TCMT00503
UHF0118	TCMT01938
UHF0122	TCMT01938
UHF0124	TCMT01938
UHF0124	TCMT01940
UHF0124	TCMT02120
UHF0130	TCMT01939
UHF0130	TCMT01938
UHF0132	TCMT01940
UHF0132	TCMT01938
UHF0135	TCMT02097
UHF0136	TCMT00433
UHF0137	TCMT01836
UHF0138	TCMT01941
UHF0139	TCMT02120
UHF0140	TCMT01941
UHF0140	TCMT01870
UHF0142	TCMT01938
UHF0143	TCMT02027
UHF0143	TCMT01941
UHF0143	TCMT01939
UHF0144	TCMT01939
UHF0144	TCMT00383
UHF0144	TCMT01941
UHF0145	TCMT02180
UHF0146	TCMT00433
UHF0147	TCMT00383
UHF0147	TCMT01941
UHF0149	TCMT00383
UHF0150	TCMT00383
UHF0151	TCMT02180
UHF0151	TCMT02027
UHF0151	TCMT00383
UHF0151	TCMT01941
UHF0152	TCMT01938
UHF0152	TCMT01941
UHF0153	TCMT00503
UHF0154	TCMT01836
UHF0154	TCMT02035
UHF0157	TCMT01939
UHF0157	TCMT00383
UHF0157	TCMT01940
UHF0158	TCMT02036
UHF0159	TCMT01939
UHF0160	TCMT01941
UHF0160	TCMT00355
UHF0161	TCMT01941
UHF0164	TCMT02061
UHF0168	TCMT01941
UHF0169	TCMT01938
UHF0169	TCMT02180
UHF0171	TCMT01940
UHF0172	TCMT00383
UHF0172	TCMT01941
UHF0173	TCMT01939
UHF0173	TCMT01940
UHF0173	TCMT02120
UHF0174	TCMT01940
UHF0176	TCMT00433
UHF0179	TCMT02036
UHF0180	TCMT00383
UHF0180	TCMT01941
UHF0180	TCMT02120
UHF0181	TCMT01939
UHF0182	TCMT02180
UHF0182	TCMT02119
UHF0182	TCMT02027
UHF0182	TCMT00383
UHF0182	TCMT01941
UHF0182	TCMT01817
UHF0182	TCMT01940
UHF0185	TCMT02120
UHF0189	TCMT01941
UHF0189	TCMT01940
UHF0189	TCMT01938
UHF0190	TCMT01870
UHF0193	TCMT01941
UHF0195	TCMT01941
UHF0196	TCMT00433
UHF0197	TCMT01870
UHF0198	TCMT01941
UHF0199	TCMT01941
UHF0200	TCMT01941
UHF0201	TCMT00383
UHF0201	TCMT01940
UHF0201	TCMT01941
UHF0202	TCMT00383
UHF0202	TCMT01940
UHF0202	TCMT01941
UHF0203	TCMT00383
UHF0203	TCMT01940
UHF0203	TCMT01941
UHF0204	TCMT01940
UHF0205	TCMT01940
UHF0207	TCMT01911
UHF0209	TCMT01938
UHF0209	TCMT01939
UHF0209	TCMT02104
UHF0211	TCMT01817
UHF0212	TCMT02061
UHF0213	TCMT01938
UHF0214	TCMT01940
UHF0214	TCMT01941
UHF0214	TCMT00383
UHF0216	TCMT01940
UHF0217	TCMT01941
UHF0218	TCMT01939
UHF0218	TCMT01938
UHF0219	TCMT01938
UHF0219	TCMT01939
UHF0220	TCMT01939
UHF0220	TCMT01938
UHF0221	TCMT01939
UHF0221	TCMT01938
UHF0222	TCMT01938
UHF0222	TCMT01939
UHF0223	TCMT02027
UHF0223	TCMT02180
UHF0223	TCMT01939
UHF0224	TCMT01939
UHF0224	TCMT01938
UHF0230	TCMT01940
UHF0232	TCMT01939
UHF0232	TCMT02184
UHF0232	TCMT02070
UHF0234	TCMT01939
UHF0234	TCMT02120
UHF0235	TCMT02061
UHF0235	TCMT02180
UHF0236	TCMT02027
UHF0236	TCMT02180
UHF0237	TCMT02199
UHF0237	TCMT01817
UHF0238	TCMT02036
UHF0238	TCMT02061
UHF0240	TCMT01940
UHF0241	TCMT01938
UHF0241	TCMT00509
UHF0242	TCMT01938
