CPM_ID	CHP_ID	Dosage_ratio
UHF0126	CHP03124	0.3793
UHF0126	CHP03800	0.2069
UHF0126	CHP00608	0.1724
UHF0126	CHP03013	0.1379
UHF0126	CHP04322	0.1034
UHF0133	CHP04070	1.0
UHF0131	CHP02930	1.0
UHF0117	CHP03052	0.75
UHF0117	CHP03732	0.25
UHF0132	CHP00608	0.2474
UHF0132	CHP03120	0.1237
UHF0132	CHP06224	0.1237
UHF0132	CHP03999	0.0928
UHF0132	CHP06320	0.0433
UHF0132	CHP06256	0.0433
UHF0132	CHP00997	0.0433
UHF0132	CHP02756	0.0412
UHF0132	CHP00308	0.0309
UHF0132	CHP02685	0.0309
UHF0132	CHP05255	0.0309
UHF0132	CHP04065	0.0186
UHF0132	CHP04258	0.0186
UHF0132	CHP02750	0.0186
UHF0132	CHP03013	0.0186
UHF0132	CHP06210	0.0124
UHF0132	CHP04861	0.0124
UHF0132	CHP02023	0.0124
UHF0132	CHP01757	0.0124
UHF0132	CHP01771	0.0124
UHF0132	CHP01690	0.0062
UHF0132	CHP02305	0.0062
UHF0123	CHP04065	0.625
UHF0123	CHP06210	0.1875
UHF0123	CHP01757	0.1875
UHF0124	CHP03999	0.3465
UHF0124	CHP06320	0.1634
UHF0124	CHP04861	0.1634
UHF0124	CHP00608	0.1634
UHF0124	CHP00451	0.1634
UHF0125	CHP03120	0.2976
UHF0125	CHP06224	0.2976
UHF0125	CHP00997	0.119
UHF0125	CHP02405	0.0893
UHF0125	CHP06320	0.0595
UHF0125	CHP02023	0.0595
UHF0125	CHP02305	0.0595
UHF0125	CHP01368	0.0179
UHF0127	CHP01516	0.3182
UHF0127	CHP04124	0.1818
UHF0127	CHP01644	0.1818
UHF0127	CHP00004	0.0909
UHF0127	CHP03767	0.0909
UHF0127	CHP01757	0.0909
UHF0127	CHP06210	0.0455
UHF0422	CHP03797	0.1724
UHF0422	CHP06320	0.1724
UHF0422	CHP02750	0.1724
UHF0422	CHP02305	0.1724
UHF0422	CHP04451	0.1034
UHF0422	CHP02839	0.1034
UHF0422	CHP02913	0.1034
UHF0116	CHP02390	1.0
UHF0115	CHP04002	1.0
UHF0113	CHP04067	1.0
UHF0114	CHP00004	0.25
UHF0114	CHP01399	0.25
UHF0114	CHP04473	0.25
UHF0114	CHP00216	0.25
UHF0128	CHP03732	0.8333
UHF0128	CHP06174	0.1667
UHF0110	CHP06224	0.2695
UHF0110	CHP02756	0.2695
UHF0110	CHP03999	0.1617
UHF0110	CHP00308	0.0836
UHF0110	CHP03124	0.0431
UHF0110	CHP06320	0.0431
UHF0110	CHP04259	0.0431
UHF0110	CHP02023	0.0431
UHF0110	CHP02405	0.0431
UHF0111	CHP00308	0.2577
UHF0111	CHP02750	0.1546
UHF0111	CHP01368	0.1546
UHF0111	CHP06210	0.1546
UHF0111	CHP01757	0.1546
UHF0111	CHP06256	0.0619
UHF0111	CHP02023	0.0309
UHF0111	CHP03283	0.0309
UHF0112	CHP06224	0.4808
UHF0112	CHP03124	0.0962
UHF0112	CHP00308	0.0865
UHF0112	CHP02756	0.0721
UHF0112	CHP00451	0.0721
UHF0112	CHP06256	0.0481
UHF0112	CHP00997	0.0481
UHF0112	CHP00608	0.0433
UHF0112	CHP02023	0.0288
UHF0112	CHP04259	0.024
UHF0108	CHP02685	0.1429
UHF0108	CHP00308	0.1429
UHF0108	CHP04764	0.1429
UHF0108	CHP04577	0.1429
UHF0108	CHP05255	0.1429
UHF0108	CHP04861	0.1429
UHF0108	CHP03130	0.1429
UHF0109	CHP06224	0.2203
UHF0109	CHP03120	0.1322
UHF0109	CHP00451	0.1322
UHF0109	CHP00608	0.0793
UHF0109	CHP03124	0.0661
