CPM_ID	Chinese_herbal_formulas	Pinyin_term	Routes_of_administration
UHF0001	阿亚拉吉 排克拉 巴日德 苦膏	a ya la ji   pai ke la   ba ri de   ku gao	Oral
UHF0002	阿亚热吉 排克拉 阿日 苦膏	a ya re ji   pai ke la   a ri   ku gao	Oral
UHF0003	艾比 阿亚热吉 小丸	ai bi   a ya re ji   xiao wan	Oral
UHF0004	艾比 阿扎拉克 小丸	ai bi   a zha la ke   xiao wan	Oral
UHF0005	艾比 艾非散厅 小丸	ai bi   ai fei san ting   xiao wan	Oral
UHF0006	艾比 艾非提蒙 小丸	ai bi   ai fei ti meng   xiao wan	Oral
UHF0007	艾比 艾非云 小丸	ai bi   ai fei yun   xiao wan	Oral
UHF0008	艾比 艾力勒 小丸	ai bi   ai li lei   xiao wan	Oral
UHF0009	艾比 艾力勒 小丸Ⅰ	ai bi   ai li lei   xiao wan Ⅰ	Oral
UHF0010	艾比 艾力勒 小丸Ⅱ	ai bi   ai li lei   xiao wan Ⅱ	Oral
UHF0011	艾比 白热斯 小丸	ai bi   bai re si   xiao wan	Oral
UHF0012	艾比 白日萨 小丸	ai bi   bai ri sa   xiao wan	Oral
UHF0013	艾比 比乃非谢 小丸	ai bi   bi nai fei xie   xiao wan	Oral
UHF0014	艾比 比乃非谢 小丸Ⅰ	ai bi   bi nai fei xie   xiao wan Ⅰ	Oral
UHF0015	艾比 比乃非谢 小丸Ⅱ	ai bi   bi nai fei xie   xiao wan Ⅱ	Oral
UHF0016	艾比 哈排斯 小丸	ai bi   ha pai si   xiao wan	Oral
UHF0017	艾比 哈日混 小丸Ⅰ	ai bi   ha ri hun   xiao wan Ⅰ	Oral
UHF0018	艾比 哈日混 小丸Ⅱ	ai bi   ha ri hun   xiao wan Ⅱ	Oral
UHF0019	艾比 胡西 开依飞 小丸	ai bi   hu xi   kai yi fei   xiao wan	Oral
UHF0020	艾比 节德瓦尔 艾非优尼 小丸	ai bi   jie de wa er   ai fei you ni   xiao wan	Oral
UHF0021	艾比 节德瓦日 小丸	ai bi   jie de wa ri   xiao wan	Oral
UHF0022	艾比 库克亚 小丸	ai bi   ku ke ya   xiao wan	Oral
UHF0023	艾比 库克亚 小丸Ⅰ	ai bi   ku ke ya   xiao wan Ⅰ	Oral
UHF0024	艾比 库克亚 小丸Ⅱ	ai bi   ku ke ya   xiao wan Ⅱ	Oral
UHF0025	艾比 库日土米 小丸	ai bi   ku ri tu mi   xiao wan	Oral
UHF0026	艾比 买卫孜 小丸	ai bi   mai wei zi   xiao wan	Oral
UHF0027	艾比 木合日吉 小丸	ai bi   mu he ri ji   xiao wan	Oral
UHF0028	艾比 木开力 阿日 小丸	ai bi   mu kai li   a ri   xiao wan	Oral
UHF0029	艾比 木开力 巴日德 小丸	ai bi   mu kai li   ba ri de   xiao wan	Oral
UHF0030	艾比 木斯力 小丸	ai bi   mu si li   xiao wan	Oral
UHF0031	艾比 排日非云 小丸	ai bi   pai ri fei yun   xiao wan	Oral
UHF0032	艾比 热万 小丸	ai bi   re wan   xiao wan	Oral
UHF0033	艾比 赛比日 小丸	ai bi   sai bi ri   xiao wan	Oral
UHF0034	艾比 赛地日 小丸	ai bi   sai di ri   xiao wan	Oral
UHF0035	艾比 斯马比 小丸	ai bi   si ma bi   xiao wan	Oral
UHF0036	艾比 斯亚当 小丸	ai bi   si ya dang   xiao wan	Oral
UHF0037	艾比 苏阿力 小丸Ⅰ	ai bi   su a li   xiao wan Ⅰ	Oral
UHF0038	艾比 苏阿力 小丸Ⅱ	ai bi   su a li   xiao wan Ⅱ	Oral
UHF0039	艾比 苏阿力 小丸Ⅲ	ai bi   su a li   xiao wan Ⅲ	Oral
UHF0040	艾比 苏仁江 小丸	ai bi   su ren jiang   xiao wan	Oral
UHF0041	艾比 台皮 小丸	ai bi   tai pi   xiao wan	Oral
UHF0042	艾比 坦卡尔 小丸	ai bi   tan ka er   xiao wan	Oral
UHF0043	艾比 土尔布提 小丸	ai bi   tu er bu ti   xiao wan	Oral
UHF0044	艾比 西比亚尔 小丸Ⅰ	ai bi   xi bi ya er   xiao wan Ⅰ	Oral
UHF0045	艾比 西比亚尔 小丸Ⅱ	ai bi   xi bi ya er   xiao wan Ⅱ	Oral
UHF0046	艾比 西比亚尔 小丸Ⅲ	ai bi   xi bi ya er   xiao wan Ⅲ	Oral
UHF0047	艾比 西比亚尔 小丸Ⅳ	ai bi   xi bi ya er   xiao wan Ⅳ	Oral
UHF0048	艾比 西法 木赛肯 小丸	ai bi   xi fa   mu sai ken   xiao wan	Oral
UHF0049	艾比 西法 小丸	ai bi   xi fa   xiao wan	Oral
UHF0050	艾比 西法 小丸Ⅰ	ai bi   xi fa   xiao wan Ⅰ	Oral
UHF0051	艾比 西法 小丸Ⅱ	ai bi   xi fa   xiao wan Ⅱ	Oral
UHF0052	艾比 再艾比 小丸	ai bi   zai ai bi   xiao wan	Oral
UHF0053	艾比 再艾比 小丸Ⅰ	ai bi   zai ai bi   xiao wan Ⅰ	Oral
UHF0054	艾比 再艾比 小丸Ⅱ	ai bi   zai ai bi   xiao wan Ⅱ	Oral
UHF0055	艾热克 艾比日西米 蒸露	ai re ke   ai bi ri xi mi   zheng lu	Oral
UHF0056	艾热克 比德米西克 蒸露	ai re ke   bi de mi xi ke   zheng lu	Oral
UHF0057	艾热克 高孜班 蒸露	ai re ke   gao zi ban   zheng lu	Oral
UHF0058	艾热克 卡福尔 蒸露	ai re ke   ka fu er   zheng lu	Oral
UHF0059	艾热克 三代力 蒸露	ai re ke   san dai li   zheng lu	Oral
UHF0060	艾日热 膳食 糖糊	ai ri re   shan shi   tang hu	Oral
UHF0061	巴那都克 白祖日 丹	ba na dou ke   bai zu ri   dan	Oral
UHF0062	巴那都克 木海力里 丹	ba na dou ke   mu hai li li   dan	Oral
UHF0063	古丽坎尼 古丽苏如合 花膏	gu li kan ni   gu li su ru he   hua gao	Oral
UHF0064	合米日 高孜班 糖膏	he mi ri   gao zi ban   tang gao	Oral
UHF0065	合米日 海西哈西 糖膏	he mi ri   hai xi ha xi   tang gao	Oral
UHF0066	合米日 买日瓦日德 糖膏	he mi ri   mai ri wa ri de   tang gao	Oral
UHF0067	库日斯 安吉巴尔 片	ku ri si   an ji ba er   pian	Oral
UHF0068	库日斯 白鲁德代米 片	ku ri si   bai lu de dai mi   pian	Oral
UHF0069	库日斯 白祖日 片	ku ri si   bai zu ri   pian	Oral
