CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP03120	阿勃勒	腊肠果|婆罗门皂荚|阿勃勒子	a bo lei	Cassia fistula	Viridiplantae
CHP00001	阿尔泰多榔菊	多榔菊	a er tai duo lang ju	Doronicum altaicum	Viridiplantae
CHP06241	阿拉伯胶		a la bo jiao	Senegalia senegal	Viridiplantae
CHP06242	阿拉伯胶树汁		a la bo jiao shu zhi	Senegalia senegal	Viridiplantae
CHP06366	阿里红		a li hong	Fomes fomentarius	Fungi
CHP06288	阿摩尼亚脂		a mo ni ya zhi	Ferula ammoniacum	Viridiplantae
CHP06246	阿纳其根	阿那其根皮|阿那其根	a na qi gen	Anacyclus pyrethrum	Viridiplantae
CHP00003	阿魏	臭阿魏|阿魏根|新疆阿魏	a wei	Ferula assa-foetida	Viridiplantae
CHP00035	阿魏子	臭阿魏子	a wei zi	Ferula sinkiangensis	Viridiplantae
CHP00004	阿育魏实		a yu wei shi	Trachyspermum ammi	Viridiplantae
CHP00014	艾叶	艾绒|艾|艾叶油|艾把|艾蒿	ai ye	Artemisia argyi	Viridiplantae
CHP00019	安息香		an xi xiang	Styrax benzoin	Viridiplantae
CHP00030	八角茴香	八角茴香油|白木香	ba jiao hui xiang	Illicium verum	Viridiplantae
CHP00037	巴豆	生巴豆|哥伦比亚巴豆|毛叶巴豆	ba dou	Croton tiglium	Viridiplantae
CHP00048	菝葜	蔓九节|金刚藤|菝葜根|欧菝葜根	ba qia	Smilax china	Viridiplantae
CHP00059	白菖	水菖蒲|菖蒲|藏菖蒲	bai chang	Acorus calamus	Viridiplantae
CHP00071	白饭豆	红菜豆|菜豆|菜豆粉|红罗菜豆|菜豆仁	bai fan dou	Phaseolus vulgaris	Viridiplantae
CHP00090	白花丹		bai hua dan	Plumbago zeylanica	Viridiplantae
CHP00099	白及	欧白及|白芨|兰屿白芨	bai ji	Bletilla striata	Viridiplantae
CHP00102	白芥子		bai jie zi	Sinapis alba	Viridiplantae
CHP05955	白蜡树子		bai la shu zi	Fraxinus chinensis	Viridiplantae
CHP06140	白石脂		bai shi zhi	Halloysite	Mineral
CHP06212	白糖	红糖|冰糖|糖浆|甘蔗糖|红块糖	bai tang	Saccharum officinarum	Viridiplantae
CHP00146	白头翁		bai tou weng	Pulsatilla chinensis	Viridiplantae
CHP00147	白头翁花		bai tou weng hua	Pulsatilla chinensis	Viridiplantae
CHP05753	斑鸠	斑鸠肉	ban jiu	Streptopelia orientalis	Metazoa
CHP00191	斑鸠菊		ban jiu ju	Strobocalyx esculenta	Viridiplantae
CHP05754	斑蝥	斑螫|斑螯|斑蟊	ban mao	Mylabris cichorii	Metazoa
CHP00543	板蓝根	木板蓝根|板蓝板|木大青叶|板兰根|蓼大青叶|蓝根|大青叶	ban lan gen	Isatis tinctoria	Viridiplantae
CHP00216	薄荷	薄荷油|薄荷冰|薄荷脑|兴安薄荷|薄荷水|薄荷香|薄荷素油|薄菏	bo he	Mentha x piperita	Viridiplantae
CHP00238	荜茇	荜苃|荜茇油|草爰|草拨|筚茇|荜拔|荜菝	bi ba	Piper longum	Viridiplantae
CHP00239	荜茇根	荜苃根	bi ba gen	Piper longum	Viridiplantae
CHP00240	荜澄茄	山苍子|豆豉姜|山鸡椒	bi cheng jia	Litsea cubeba	Viridiplantae
CHP00245	蓖麻油		bi ma you	Ricinus communis	Viridiplantae
CHP00246	蓖麻子	蓖麻仁|蓖麻籽	bi ma zi	Ricinus communis	Viridiplantae
CHP00274	槟榔	摈榔|大腹皮|枣槟榔|槟榔子|槟榔胶|槟榔花	bing lang	Areca catechu	Viridiplantae
CHP02410	冰片	龙脑|龙脑膏香|梅花冰片	bing pian	Dryobalanops aromatica	Viridiplantae
CHP06208	兵豆		bing dou	Lens culinaris	Viridiplantae
CHP06323	波斯阿魏		bo si a wei	Ferula persica	Viridiplantae
CHP00281	菠菜		bo cai	Spinacia oleracea	Viridiplantae
CHP00282	菠菜子		bo cai zi	Spinacia oleracea	Viridiplantae
CHP00284	播娘蒿	葶苈草|独行菜	bo niang hao	Descurainia sophia	Viridiplantae
CHP00288	补骨脂	盐补骨脂|补骨子	bu gu zhi	Cullen corylifolium	Viridiplantae
CHP00289	补血草	中华补血草	bu xue cao	Limonium gmelinii	Viridiplantae
CHP05774	蚕蛹	蚕茧|蚕丝|蚕丝粉	can yong	Bombyx mori	Metazoa
CHP00306	西红花	番红花|藏红花	zang hong hua	Crocus sativus	Viridiplantae
CHP00308	藏青果	西青果	zang qing guo	Terminalia chebula	Viridiplantae
CHP00315	草豆蔻	小草蔻	cao dou kou	Alpinia hainanensis	Viridiplantae
