cpm_id	Source	Target	attention
UHF0179	CHP00004	CHP00004	0.105614
UHF0179	CHP03352	CHP00004	0.307798
UHF0179	CHP03731	CHP00004	0.115946
UHF0179	Cold therapeutic	CHP00004	0.07611
UHF0179	Hot therapeutic	CHP00004	0.152796
UHF0179	Dry therapeutic	CHP00004	0.146195
UHF0179	CHP04382	CHP00004	0.044512
UHF0179	Moist therapeutic	CHP00004	0.051055
UHF0179	CHP00004	CHP03352	0.090423
UHF0179	CHP03352	CHP03352	0.33314
UHF0179	CHP03731	CHP03352	0.114323
UHF0179	Cold therapeutic	CHP03352	0.075009
UHF0179	Hot therapeutic	CHP03352	0.150231
UHF0179	Dry therapeutic	CHP03352	0.142566
UHF0179	CHP04382	CHP03352	0.043942
UHF0179	Moist therapeutic	CHP03352	0.050365
UHF0179	CHP00004	CHP03731	0.066397
UHF0179	CHP03352	CHP03731	0.235028
UHF0179	CHP03731	CHP03731	0.236188
UHF0179	Cold therapeutic	CHP03731	0.133322
UHF0179	Hot therapeutic	CHP03731	0.105735
UHF0179	Dry therapeutic	CHP03731	0.147895
UHF0179	CHP04382	CHP03731	0.029283
UHF0179	Moist therapeutic	CHP03731	0.046181
UHF0179	CHP04382	CHP04382	0.093829
UHF0179	Cold therapeutic	CHP04382	0.098995
UHF0179	Hot therapeutic	CHP04382	0.220518
UHF0179	Moist therapeutic	CHP04382	0.100763
UHF0179	CHP00004	CHP04382	0.068336
UHF0179	CHP03352	CHP04382	0.237382
UHF0179	Dry therapeutic	CHP04382	0.101428
UHF0179	CHP03731	CHP04382	0.078916
UHF0179	Dry therapeutic	Cold therapeutic	0.133556
UHF0179	Hot therapeutic	Cold therapeutic	0.134733
UHF0179	CHP00004	Cold therapeutic	0.062249
UHF0179	CHP03352	Cold therapeutic	0.222557
UHF0179	Cold therapeutic	Cold therapeutic	0.133158
UHF0179	CHP03731	Cold therapeutic	0.204936
UHF0179	Moist therapeutic	Cold therapeutic	0.062011
UHF0179	CHP04382	Cold therapeutic	0.046857
UHF0179	Dry therapeutic	Dry therapeutic	0.14696
UHF0179	Hot therapeutic	Dry therapeutic	0.134358
UHF0179	CHP00004	Dry therapeutic	0.086049
UHF0179	CHP03352	Dry therapeutic	0.286181
UHF0179	Cold therapeutic	Dry therapeutic	0.097418
UHF0179	CHP03731	Dry therapeutic	0.162021
UHF0179	Moist therapeutic	Dry therapeutic	0.048837
UHF0179	CHP04382	Dry therapeutic	0.038187
UHF0179	Dry therapeutic	Hot therapeutic	0.126565
UHF0179	Hot therapeutic	Hot therapeutic	0.182126
UHF0179	CHP00004	Hot therapeutic	0.085331
UHF0179	CHP03352	Hot therapeutic	0.282977
UHF0179	Cold therapeutic	Hot therapeutic	0.086198
UHF0179	CHP03731	Hot therapeutic	0.099695
UHF0179	Moist therapeutic	Hot therapeutic	0.071952
UHF0179	CHP04382	Hot therapeutic	0.065289
UHF0179	Moist therapeutic	Moist therapeutic	0.090964
UHF0179	Hot therapeutic	Moist therapeutic	0.195173
UHF0179	CHP04382	Moist therapeutic	0.080896
UHF0179	CHP03731	Moist therapeutic	0.119843
UHF0179	Dry therapeutic	Moist therapeutic	0.110445
UHF0179	Cold therapeutic	Moist therapeutic	0.110599
UHF0179	CHP00004	Moist therapeutic	0.064614
UHF0179	CHP03352	Moist therapeutic	0.227523
UHF0116	CHP02390	CHP02390	0.206745
UHF0116	Cold therapeutic	CHP02390	0.2484
UHF0116	Hot therapeutic	CHP02390	0.148114
UHF0116	Dry therapeutic	CHP02390	0.2484
UHF0116	Moist therapeutic	CHP02390	0.148114
UHF0116	Dry therapeutic	Cold therapeutic	0.236077
UHF0116	Cold therapeutic	Cold therapeutic	0.24302
UHF0116	CHP02390	Cold therapeutic	0.186319
UHF0116	Moist therapeutic	Cold therapeutic	0.167217
UHF0116	Hot therapeutic	Cold therapeutic	0.167217
UHF0116	Dry therapeutic	Dry therapeutic	0.24302
UHF0116	Cold therapeutic	Dry therapeutic	0.236077
UHF0116	CHP02390	Dry therapeutic	0.186319
UHF0116	Moist therapeutic	Dry therapeutic	0.167217
UHF0116	Hot therapeutic	Dry therapeutic	0.167217
UHF0116	CHP02390	Hot therapeutic	0.148114
UHF0116	Cold therapeutic	Hot therapeutic	0.222933
UHF0116	Hot therapeutic	Hot therapeutic	0.206339
UHF0116	Dry therapeutic	Hot therapeutic	0.222933
UHF0116	Moist therapeutic	Hot therapeutic	0.199396
UHF0116	CHP02390	Moist therapeutic	0.148114
UHF0116	Cold therapeutic	Moist therapeutic	0.222933
UHF0116	Hot therapeutic	Moist therapeutic	0.199396
UHF0116	Dry therapeutic	Moist therapeutic	0.222933
UHF0116	Moist therapeutic	Moist therapeutic	0.206339
UHF0062	CHP02023	CHP02023	0.356608
UHF0062	Cold therapeutic	CHP02023	0.245541
UHF0062	Hot therapeutic	CHP02023	0.077472
UHF0062	Moist therapeutic	CHP02023	0.176348
UHF0062	CHP02566	CHP02023	0.048343
UHF0062	CHP03800	CHP02023	0.047806
UHF0062	Dry therapeutic	CHP02023	0.047806
UHF0062	CHP02023	CHP02566	0.231622
UHF0062	Cold therapeutic	CHP02566	0.274784
UHF0062	Hot therapeutic	CHP02566	0.111209
UHF0062	Moist therapeutic	CHP02566	0.171305
UHF0062	CHP02566	CHP02566	0.075864
UHF0062	CHP03800	CHP02566	0.067621
UHF0062	Dry therapeutic	CHP02566	0.067621
UHF0062	CHP02023	CHP03800	0.230712
UHF0062	Cold therapeutic	CHP03800	0.276845
UHF0062	Hot therapeutic	CHP03800	0.111273
UHF0062	Moist therapeutic	CHP03800	0.170461
UHF0062	CHP02566	CHP03800	0.068576
UHF0062	CHP03800	CHP03800	0.074741
UHF0062	Dry therapeutic	CHP03800	0.067358
UHF0062	Moist therapeutic	Cold therapeutic	0.157155
UHF0062	Cold therapeutic	Cold therapeutic	0.289587
UHF0062	CHP02023	Cold therapeutic	0.276757
UHF0062	CHP02566	Cold therapeutic	0.057734
UHF0062	CHP03800	Cold therapeutic	0.057507
UHF0062	Dry therapeutic	Cold therapeutic	0.057507
UHF0062	Hot therapeutic	Cold therapeutic	0.10358
UHF0062	CHP02023	Dry therapeutic	0.230712
UHF0062	Cold therapeutic	Dry therapeutic	0.276845
UHF0062	Hot therapeutic	Dry therapeutic	0.111273
UHF0062	Moist therapeutic	Dry therapeutic	0.170461
UHF0062	CHP02566	Dry therapeutic	0.068576
UHF0062	CHP03800	Dry therapeutic	0.067358
UHF0062	Dry therapeutic	Dry therapeutic	0.074741
UHF0062	Moist therapeutic	Hot therapeutic	0.152668
UHF0062	Cold therapeutic	Hot therapeutic	0.306507
UHF0062	CHP02023	Hot therapeutic	0.22485
UHF0062	Hot therapeutic	Hot therapeutic	0.119109
UHF0062	CHP02566	Hot therapeutic	0.065791
UHF0062	CHP03800	Hot therapeutic	0.065448
UHF0062	Dry therapeutic	Hot therapeutic	0.065448
UHF0062	Moist therapeutic	Moist therapeutic	0.179631
UHF0062	Cold therapeutic	Moist therapeutic	0.246592
UHF0062	CHP02023	Moist therapeutic	0.323258
UHF0062	CHP02566	Moist therapeutic	0.05556
UHF0062	CHP03800	Moist therapeutic	0.054691
UHF0062	Dry therapeutic	Moist therapeutic	0.054691
UHF0062	Hot therapeutic	Moist therapeutic	0.085488
UHF0466	CHP02839	CHP02839	0.31489
UHF0466	CHP04697	CHP02839	0.058919
UHF0466	CHP04888	CHP02839	0.052968
UHF0466	Cold therapeutic	CHP02839	0.052334
UHF0466	Hot therapeutic	CHP02839	0.184662
UHF0466	Dry therapeutic	CHP02839	0.176911
UHF0466	CHP05104	CHP02839	0.07172
UHF0466	Moist therapeutic	CHP02839	0.087628
UHF0466	CHP02839	CHP04697	0.234377
UHF0466	CHP04697	CHP04697	0.118336
UHF0466	CHP04888	CHP04697	0.041374
UHF0466	Cold therapeutic	CHP04697	0.098458
UHF0466	Hot therapeutic	CHP04697	0.14272
UHF0466	Dry therapeutic	CHP04697	0.206543
UHF0466	CHP05104	CHP04697	0.056828
UHF0466	Moist therapeutic	CHP04697	0.101394
UHF0466	CHP02839	CHP04888	0.292812
UHF0466	CHP04697	CHP04888	0.059971
UHF0466	CHP04888	CHP04888	0.061363
UHF0466	Cold therapeutic	CHP04888	0.053013
UHF0466	Hot therapeutic	CHP04888	0.189449
UHF0466	Dry therapeutic	CHP04888	0.180528
UHF0466	CHP05104	CHP04888	0.073456
UHF0466	Moist therapeutic	CHP04888	0.089455
UHF0466	CHP05104	CHP05104	0.144318
UHF0466	Cold therapeutic	CHP05104	0.065644
