cpm_id	Source	Target	attn_weights_1_head_1	attn_weights_1_head_2	attn_weights_2_head_1	attn_weights_2_head_2	attn_weights_3_head_1	attn_weights_3_head_2	attn_weights_4_head_1
UHF0126	CHP00608	Cold therapeutic	0.0535	0.2378	0.1413	0.1719	0.1933	0.221	0.1748
UHF0126	CHP03013	Moist therapeutic	0.0564	0.1038	0.1564	0.1674	0.1569	0.1556	0.1564
UHF0126	CHP03013	Hot therapeutic	0.0613	0.1212	0.16	0.1687	0.1615	0.1632	0.1595
UHF0126	CHP03124	Moist therapeutic	0.2873	0.1818	0.1917	0.1561	0.1675	0.118	0.1544
UHF0126	CHP03124	Hot therapeutic	0.3121	0.2123	0.1961	0.1573	0.1725	0.1238	0.1574
UHF0126	CHP03800	Cold therapeutic	0.0588	0.054	0.1407	0.1655	0.1504	0.1469	0.1594
UHF0126	CHP03800	Hot therapeutic	0.0382	0.0659	0.1334	0.1735	0.1618	0.1844	0.1723
UHF0126	CHP04322	Moist therapeutic	0.2051	0.1862	0.1772	0.1757	0.1774	0.198	0.1822
UHF0126	CHP04322	Cold therapeutic	0.2602	0.178	0.1911	0.169	0.1698	0.1654	0.1719
UHF0126	Dry therapeutic	Cold therapeutic	0.2602	0.178	0.1857	0.1677	0.1606	0.1552	0.166
UHF0126	Dry therapeutic	Hot therapeutic	0.2228	0.2174	0.1761	0.1757	0.1727	0.1948	0.1794
UHF0126	Moist therapeutic	CHP03124	0.2805	0.3299	0.3249	0.3352	0.3352	0.373	0.3457
UHF0126	Moist therapeutic	CHP03013	0.4453	0.3895	0.3486	0.3275	0.3426	0.3435	0.3443
UHF0126	Moist therapeutic	CHP04322	0.3536	0.3034	0.3416	0.3115	0.3169	0.285	0.3129
UHF0126	Moist therapeutic	Cold therapeutic	0.2219	0.1609	0.1818	0.1542	0.1571	0.136	0.1564
UHF0126	Moist therapeutic	Hot therapeutic	0.1901	0.1964	0.1724	0.1616	0.1689	0.1707	0.169
UHF0126	Cold therapeutic	CHP03800	0.3719	0.4805	0.3384	0.3485	0.3587	0.3881	0.3563
UHF0126	Cold therapeutic	CHP00608	0.7146	0.446	0.5301	0.4998	0.4661	0.4427	0.4952
UHF0126	Cold therapeutic	CHP04322	0.2318	0.3609	0.2994	0.3471	0.3404	0.3681	0.3431
UHF0126	Cold therapeutic	Dry therapeutic	0.2382	0.3664	0.3088	0.347	0.3511	0.3811	0.3515
UHF0126	Cold therapeutic	Moist therapeutic	0.1147	0.2001	0.1477	0.1786	0.1762	0.2101	0.1818
UHF0126	Hot therapeutic	CHP03124	0.259	0.3136	0.3055	0.3384	0.3227	0.3564	0.3323
UHF0126	Hot therapeutic	CHP03800	0.524	0.3839	0.363	0.3157	0.3215	0.2872	0.3124
UHF0126	Hot therapeutic	CHP03013	0.4112	0.3702	0.3278	0.3305	0.3298	0.3282	0.3309
UHF0126	Hot therapeutic	Dry therapeutic	0.3357	0.2928	0.3313	0.3143	0.3147	0.282	0.3082
UHF0126	Hot therapeutic	Moist therapeutic	0.1616	0.1599	0.1585	0.1618	0.158	0.1555	0.1594
UHF0126	CHP00608	CHP00608	0.2854	0.554	0.4699	0.5002	0.5339	0.5573	0.5048
UHF0126	CHP03013	CHP03013	0.1435	0.2403	0.3235	0.342	0.3276	0.3283	0.3248
UHF0126	CHP03124	CHP03124	0.4605	0.3565	0.3696	0.3264	0.3422	0.2706	0.322
UHF0126	CHP03800	CHP03800	0.1042	0.1355	0.2986	0.3358	0.3198	0.3247	0.3313
UHF0126	CHP04322	CHP04322	0.4146	0.3357	0.359	0.3414	0.3426	0.3469	0.344
UHF0126	Dry therapeutic	Dry therapeutic	0.4261	0.3408	0.3599	0.3387	0.3342	0.3368	0.3403
UHF0126	Moist therapeutic	Moist therapeutic	0.175	0.1682	0.1685	0.1603	0.1641	0.1627	0.1658
UHF0126	Cold therapeutic	Cold therapeutic	0.1454	0.1914	0.1594	0.1718	0.1687	0.1756	0.1715
UHF0126	Hot therapeutic	Hot therapeutic	0.1755	0.1867	0.1621	0.1631	0.1626	0.1631	0.1625
UHF0133	CHP04070	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	CHP04070	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	Dry therapeutic	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	Dry therapeutic	Hot therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Moist therapeutic	CHP04070	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Moist therapeutic	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	Moist therapeutic	Hot therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Cold therapeutic	CHP04070	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Cold therapeutic	Dry therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Cold therapeutic	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	Hot therapeutic	Dry therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Hot therapeutic	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	CHP04070	CHP04070	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Dry therapeutic	Dry therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0133	Moist therapeutic	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	Cold therapeutic	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0133	Hot therapeutic	Hot therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	CHP02930	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	CHP02930	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	Dry therapeutic	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	Dry therapeutic	Hot therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Moist therapeutic	CHP02930	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Moist therapeutic	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	Moist therapeutic	Hot therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Cold therapeutic	CHP02930	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Cold therapeutic	Dry therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Cold therapeutic	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	Hot therapeutic	Dry therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Hot therapeutic	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	CHP02930	CHP02930	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Dry therapeutic	Dry therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0131	Moist therapeutic	Moist therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	Cold therapeutic	Cold therapeutic	0.25	0.25	0.25	0.25	0.25	0.25	0.25
UHF0131	Hot therapeutic	Hot therapeutic	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
UHF0117	CHP03052	Hot therapeutic	0.221	0.0351	0.2686	0.2442	0.2058	0.2305	0.2321
UHF0117	CHP03052	Dry therapeutic	0.1717	0.0234	0.2193	0.1947	0.1507	0.1748	0.1804
UHF0117	CHP03732	Dry therapeutic	0.2275	0.3998	0.1874	0.2014	0.2472	0.2272	0.2155
